Width,Height,Die #,New Die ID Format,# Per Page,Description,Shape,Corner,# Per Stroke,Strokes Per Page,Image,Prodcut Type,Cutter
2,3.5,P0002,P0001-P0002,25,Business Card ( See also P0001 ),Square,Square,5,5,https://media.magnetguys.com/diecut_proof/D__P0001-P0002__3.5-x-2_P0001-P0002_Square-corner.jpg,Magnets,Preco
2,3.5,P0003,P0003-P0176,25,Business Card (See also P0176),Round,Round,5,5,https://media.magnetguys.com/diecut_proof/D__P0003-P0176__3.5-x-2_P0003-P0176_Round-corner.jpg,Magnets,Preco
3.5,4,P0004,P0004-P0005,12,Rectangle ( See also P0005 ),Round,Round,6,2,https://media.magnetguys.com/diecut_proof/D__P0004-P0005__3.5-x-4_P0004-P0005_Round-corner.jpg,Magnets,Preco
3.5,4,P0005,P0004-P0005,12,Rectangle ( See also P0004 ),Round,Round,6,2,https://media.magnetguys.com/diecut_proof/D__P0004-P0005__3.5-x-4_P0004-P0005_Round-corner.jpg,Magnets,Preco
3.5,4,P0006,P0006,12,Rectangle,Square,Square,6,2,https://media.magnetguys.com/diecut_proof/D__P0006__3.5-x-4_P0006_Square-corner.jpg,Magnets,Preco
2,3,P0007,P0007,25,Rectangle,Square,Square,5,5,https://media.magnetguys.com/diecut_proof/D__P0007__3-x-2_P0007_Square-corner.jpg,Magnets,Preco
2,3,P0008,P0008-P0110,25,Rectangle(See also -P0110),Round,Round,5,5,https://media.magnetguys.com/diecut_proof/D__P0008-P0110__3-x-2_P0008-P0110_Round-corner.jpg,Magnets,Preco
3,3.5,P0009,P0009-P0113,15,Rectangle See also P0113,Square,Square,3,5,https://media.magnetguys.com/diecut_proof/D__P0009-P0113__3.5-x-3_P0009-P0113_Square-corner.jpg,Magnets,Preco
3,3.5,P0010,P0010-P0112,15,Rectangle See also P0112,Round,Round,3,5,https://media.magnetguys.com/diecut_proof/D__P0010-P0112__3.5-x-3_P0010-P0112_Round-corner.jpg,Magnets,Preco
3.5,5,P0011,P0011,9,Rectangle,Round,Round,3,3,#N/A,Magnets,Preco
3.5,5,P0012,P0012,9,Rectangle,Square,Square,3,3,#N/A,Magnets,Preco
3,6,P0013,P0013,9,Rectangle,Square,Square,3,3,https://media.magnetguys.com/diecut_proof/D__P0013__3-x-6_P0013_Square-Corner.jpg,Magnets,Preco
3,6,P0014,P0014,9,Rectangle,Round,Round,3,3,https://media.magnetguys.com/diecut_proof/D__P0014__3-x-6_P0014_Round-corner.jpg,Magnets,Preco
3.5,6,P0015,P0015,9,Rectangle,Square,Square,3,3,#N/A,Magnets,Preco
3.5,6,P0016,P0016-P0117,9,Rectangle (See also P0117 ),Round,Round,3,3,#N/A,Magnets,Preco
3.75,6.12,P0017,P0017,6,Rectangle,Square,Square,3,2,#N/A,Magnets,Preco
3.75,6.12,P0018,P0018,6,Rectangle,Round,Round,3,2,#N/A,Magnets,Preco
4.5,4.5,P0019,P0019,6,Circle,Circle,NA,2,3,#N/A,Magnets,Preco
4,4,P0020,P0020,9,Circle,Circle,NA,3,3,#N/A,Magnets,Preco
4,4,P0021,P0021,8,Rectangle,Square,Square,4,2,#N/A,Magnets,Preco
4,4,P0022,P0022,8,Rectangle,Round,Round,4,2,#N/A,Magnets,Preco
5,8,P0023,P0023,4,Rectangle,Round,Round,2,2,#N/A,Magnets,Preco
5,8,P0024,P0024-P1111,4,Rectangle ( See also P1111 ),Square,Square,2,2,#N/A,Magnets,Preco
3,5,P0025,P0025-P1325,10,Oval (See also P1325 ),Oval,NA,2,5,#N/A,Magnets,Preco
6,6.75,P0026,P0026,3,Rectangle,Square,Square,1,3,#N/A,Magnets,Preco
6,6.75,P0027,P0027-P0116,3,Rectangle (See also P0116 ),Round,Round,1,3,#N/A,Magnets,Preco
6,6,P0028,P0028-P0641,3,Circle (See also P0641),Circle,NA,1,3,#N/A,Magnets,Preco
4,6,P0029,P0029-P0178-P1374,6,Oval (See also P0178-P1374),Oval,NA,2,3,#N/A,Magnets,Preco
4,6,P0030,P0030-P0339,6,Rectangle (See also P0339),Square,Square,3,2,#N/A,Magnets,Preco
4,6,P0031,P0031-P0177,6,Rectangle (See also P0177),Round,Round,3,2,#N/A,Magnets,Preco
4,7,P0032,P0032-P0040,6,Rectangle (See also P0040),Square,Square,3,2,#N/A,Magnets,Preco
4,7,P0033,P0033-P0129-P1216,6,Rectangle (see also P0129-P1216),Round,Round,3,2,#N/A,Magnets,Preco
3,5,P0034,P0034-P0845,10,Rectangle (See also P0845),Round,Round,2,5,https://media.magnetguys.com/diecut_proof/D__P0034-P0845__3-x-5_P0034-P0845_Round-corner.jpg,Magnets,Preco
3,5,P0035,P0035-P0844,10,Rectangle ( See also P0844 ),Square,Square,2,5,https://media.magnetguys.com/diecut_proof/D__P0035-P0844__3-x-5_P0035-P0844_Square-corner.jpg,Magnets,Preco
3,3,P0036,P0036-P0114,15,Rectangle (See also P0114),Round,Round,3,5,https://media.magnetguys.com/diecut_proof/D__P0036-P0114__3-x-3_P0036-P0114_Round-corner.jpg,Magnets,Preco
3,3,P0037,P0037,15,Rectangle,Square,Square,3,5,https://media.magnetguys.com/diecut_proof/D__P0037__3-x-3_P0037_Square-corner.jpg,Magnets,Preco
